language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_js_to_python.jsonl,0.875610,0.004136,0.902439,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_js_to_rust.jsonl,0.429268,0.006278,0.689024,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_python_to_cpp.jsonl,0.696341,0.007058,0.786585,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_python_to_go.jsonl,0.596341,0.008920,0.737805,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_python_to_java.jsonl,0.775610,0.006218,0.835366,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_python_to_js.jsonl,0.831707,0.005655,0.902439,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_python_to_rust.jsonl,0.428049,0.016063,0.701220,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_rust_to_cpp.jsonl,0.802439,0.009167,0.865854,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_rust_to_go.jsonl,0.525610,0.004878,0.664634,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_rust_to_java.jsonl,0.834146,0.004045,0.878049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_rust_to_js.jsonl,0.741463,0.004136,0.817073,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_rust_to_python.jsonl,0.790244,0.005655,0.847561,0.000000,,,,
total,ALL,0.711911,0.001241,0.826829,0.000000,,,,
