language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_python_to_cpp.jsonl,0.720732,0.004481,0.829268,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_python_to_go.jsonl,0.591463,0.012935,0.774390,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_python_to_java.jsonl,0.791463,0.005245,0.865854,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_python_to_js.jsonl,0.825610,0.007111,0.890244,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_python_to_rust.jsonl,0.367073,0.013415,0.719512,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_rust_to_cpp.jsonl,0.784146,0.004563,0.871951,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_rust_to_go.jsonl,0.545122,0.008962,0.719512,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_rust_to_java.jsonl,0.763415,0.010093,0.835366,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_rust_to_js.jsonl,0.709756,0.005974,0.829268,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_rust_to_python.jsonl,0.776829,0.010491,0.853659,0.000000,,,,
total,ALL,0.698496,0.002246,0.835569,0.000000,,,,
