language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_js_to_go.jsonl,0.791463,0.008493,0.890244,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_js_to_java.jsonl,0.834146,0.005245,0.896341,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_js_to_python.jsonl,0.876829,0.005245,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_js_to_rust.jsonl,0.409756,0.029332,0.731707,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_python_to_cpp.jsonl,0.671951,0.011633,0.847561,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_python_to_go.jsonl,0.632927,0.009126,0.768293,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_python_to_java.jsonl,0.813415,0.008752,0.890244,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_python_to_js.jsonl,0.884146,0.006098,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_python_to_rust.jsonl,0.442683,0.016986,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_rust_to_cpp.jsonl,0.806098,0.004481,0.914634,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_rust_to_go.jsonl,0.650000,0.011342,0.804878,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_rust_to_java.jsonl,0.824390,0.014861,0.914634,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_rust_to_js.jsonl,0.791463,0.006790,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_rust_to_python.jsonl,0.792683,0.010384,0.871951,0.000000,,,,
total,ALL,0.737886,0.002430,0.868496,0.000000,,,,
